Counter,index,NEIGHBORHOOD,BUILD_CLASS_CAT,TAX CLASS AT PRESENT,BLOCK,LOT,BUILD_CLASS_PRESENT,ADDRESS,ZIP,RES_UNITS,COM_UNITS,TOTAL_UNITS,LAND_SQ_FT,GROSS_SQ_FT,YEAR_BUILT,TAX_CLASS,BUILD_CLASS_SALE,SALE_PRICE,SALE_DATE,Counter,LG_SALE_PRICE,SHORT_DATE,LOWER,UPPER,NOT_RANGE,NUM_YEAR_BUILT,TO_DATE,NUMERIC_DATE,BUILT_YEAR,NUMERIC_YEAR
97,97.0,ALPHABET_CITY_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,386,36,D0,"_300_EAST_4TH_STREET,_2C_",10009.0,0,,1.0,1201.667036859376,4049.627951094028,1940.0,2,_D0_,760000,2013-05-31 00:00:00.000000000,97.0,13.541073712262515,31-05-13,False,False,False,165,2013-05-31 00:00:00.000000000,509.0,1970-01-01 00:00:00.000001940,4.4364233909536e-15
100,100.0,ALPHABET_CITY_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,389,30,D4,"_224_EAST_7TH_STREET,_7_",10009.0,0,,1.0,1304.4411913276122,4395.977710069175,1950.0,2,_D4_,825000,2013-05-22 00:00:00.000000000,100.0,13.623138665316818,22-05-13,False,False,False,95,2013-05-22 00:00:00.000000000,500.0,1970-01-01 00:00:00.000001950,4.753310776021714e-15
101,101.0,ALPHABET_CITY_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,398,8,D4,"_160_EAST_3RD_STREET,_5G_",10009.0,0,,1.0,981.888460381148,3308.972312670252,1940.0,2,_D4_,621000,2012-09-13 00:00:00.000000000,101.0,13.339086360915616,13-09-12,False,False,False,165,2012-09-13 00:00:00.000000000,249.0,1970-01-01 00:00:00.000001940,4.4364233909536e-15
102,102.0,ALPHABET_CITY_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,398,8,D4,"_160_EAST_3RD_STREET,_6E_",10009.0,0,,1.0,1383.4982332262553,4662.400601588519,1940.0,2,_D4_,875000,2013-06-18 00:00:00.000000000,102.0,13.681979165339751,18-06-13,False,False,False,165,2013-06-18 00:00:00.000000000,527.0,1970-01-01 00:00:00.000001940,4.4364233909536e-15
121,121.0,ALPHABET_CITY_,13_CONDOS_-_ELEVATOR_APARTMENTS_,2,384,1217,R4,_310_EAST_HOUSTON_STREET_,10002.0,1,,1.0,1541.6123170235417,5195.246384627207,2005.0,2,_R4_,975000,2013-05-23 00:00:00.000000000,121.0,13.790192749979985,23-05-13,False,False,False,360,2013-05-23 00:00:00.000000000,501.0,1970-01-01 00:00:00.000002005,6.4961913938963435e-15
126,126.0,ALPHABET_CITY_,13_CONDOS_-_ELEVATOR_APARTMENTS_,2,392,1037,R4,_143_AVENUE_B_,10009.0,1,,1.0,1343.9697122769337,4529.189155828847,1928.0,2,_R4_,850000,2013-04-05 00:00:00.000000000,126.0,13.652991628466498,05-04-13,False,False,False,375,2013-05-04 00:00:00.000000000,482.0,1970-01-01 00:00:00.000001928,4.056158528871863e-15
127,127.0,ALPHABET_CITY_,13_CONDOS_-_ELEVATOR_APARTMENTS_,2,392,1038,R4,_143_AVENUE_B_,10009.0,1,,1.0,1185.8556284796473,3996.3433727901593,1928.0,2,_R4_,750000,2013-04-05 00:00:00.000000000,127.0,13.527828485512494,05-04-13,False,False,False,375,2013-05-04 00:00:00.000000000,482.0,1970-01-01 00:00:00.000001928,4.056158528871863e-15
146,146.0,ALPHABET_CITY_,15_CONDOS_-_2-10_UNIT_RESIDENTIAL_,2C,394,1405,R1,_643_EAST_11_STREET_,10009.0,1,,1.0,1067.2700656316827,3596.709035511143,2006.0,2,_R1_,675000,2012-08-15 00:00:00.000000000,146.0,13.422467969854667,15-08-12,False,False,False,290,2012-08-15 00:00:00.000000000,220.0,1970-01-01 00:00:00.000002006,6.527880132403155e-15
148,148.0,ALPHABET_CITY_,17_CONDOPS_,2,389,1003,R9,"_99_AVENUE_B,_4E_",10009.0,0,,1.0,1438.8381625553054,4848.89662565206,1901.0,2,_R9_,910000,2013-02-05 00:00:00.000000000,148.0,13.721199878493033,05-02-13,False,False,False,148,2013-05-02 00:00:00.000000000,480.0,1970-01-01 00:00:00.000001901,3.2005625891879545e-15
151,151.0,ALPHABET_CITY_,17_CONDOPS_,2,389,1003,R9,"_99_AVENUE_B,_3E_",10009.0,0,,1.0,1430.932458365441,4822.254336500126,1901.0,2,_R9_,905000,2013-05-20 00:00:00.000000000,151.0,13.715690222682063,20-05-13,False,False,False,148,2013-05-20 00:00:00.000000000,498.0,1970-01-01 00:00:00.000001901,3.2005625891879545e-15
152,152.0,ALPHABET_CITY_,17_CONDOPS_,2,389,1003,R9,"_99_AVENUE_B,_2DE_",10009.0,0,,2.0,2213.5971731620084,7459.840962541631,1901.0,2,_R9_,1400000,2013-06-19 00:00:00.000000000,152.0,14.151982794585487,19-06-13,False,False,False,148,2013-06-19 00:00:00.000000000,528.0,1970-01-01 00:00:00.000001901,3.2005625891879545e-15
249,249.0,CHELSEA_,09_COOPS_-_WALKUP_APARTMENTS_,2C,719,25,C6,"_427_WEST_21ST_STREET,_2_",10011.0,0,,2.0,2846.0535083511536,9591.224094696383,1900.0,2,_C6_,1800000,2013-07-26 00:00:00.000000000,249.0,14.403297222866392,26-07-13,False,False,False,751,2013-07-26 00:00:00.000000000,565.0,1970-01-01 00:00:00.000001900,3.168873850681143e-15
252,252.0,CHELSEA_,09_COOPS_-_WALKUP_APARTMENTS_,2C,720,68,C6,"_442_WEST_23RD_STREET,_A_",10011.0,0,,2.0,2624.693791034953,8845.239998442219,1900.0,2,_C6_,1660000,2012-09-11 00:00:00.000000000,252.0,14.322328160332725,11-09-12,False,False,False,751,2012-11-09 00:00:00.000000000,306.0,1970-01-01 00:00:00.000001900,3.168873850681143e-15
253,253.0,CHELSEA_,09_COOPS_-_WALKUP_APARTMENTS_,2C,720,68,C6,"_442_WEST_23RD_STREET,_B_",10011.0,0,,2.0,3004.1675921484402,10124.06987773507,1900.0,2,_C6_,1900000,2012-11-27 00:00:00.000000000,253.0,14.457364444136669,27-11-12,False,False,False,751,2012-11-27 00:00:00.000000000,324.0,1970-01-01 00:00:00.000001900,3.168873850681143e-15
254,254.0,CHELSEA_,09_COOPS_-_WALKUP_APARTMENTS_,2C,720,69,C6,"_444_WEST_23RD_STREET,_4E_",10011.0,0,,2.0,2316.3713276302447,7806.190721516778,1900.0,2,_C6_,1465000,2012-11-28 00:00:00.000000000,254.0,14.197365800433305,28-11-12,False,False,False,751,2012-11-28 00:00:00.000000000,325.0,1970-01-01 00:00:00.000001900,3.168873850681143e-15
255,255.0,CHELSEA_,09_COOPS_-_WALKUP_APARTMENTS_,2C,720,72,C6,"_450_WEST_23RD_STREET,_D_",10011.0,0,,2.0,3162.9141322809155,10659.047043905914,1900.0,2,_C6_,2000400,2013-06-20 00:00:00.000000000,255.0,14.508857718526885,20-06-13,False,False,False,751,2013-06-20 00:00:00.000000000,529.0,1970-01-01 00:00:00.000001900,3.168873850681143e-15
287,287.0,CHELSEA_,09_COOPS_-_WALKUP_APARTMENTS_,2C,745,47,C6,"_316_WEST_22ND_STREET,_3_",10011.0,0,,2.0,2134.5401312633653,7193.418071022286,1900.0,2,_C6_,1350000,2012-10-17 00:00:00.000000000,287.0,14.115615150414612,17-10-12,False,False,False,751,2012-10-17 00:00:00.000000000,283.0,1970-01-01 00:00:00.000001900,3.168873850681143e-15
288,288.0,CHELSEA_,09_COOPS_-_WALKUP_APARTMENTS_,2,746,12,C6,"_347_WEST_22ND_STREET,_8_",10011.0,0,,2.0,3320.3957597430126,11189.761443812446,1910.0,2,_C6_,2100000,2012-12-27 00:00:00.000000000,288.0,14.557447902693651,27-12-12,False,False,False,779,2012-12-27 00:00:00.000000000,354.0,1970-01-01 00:00:00.000001910,3.4857612357492576e-15
308,308.0,CHELSEA_,09_COOPS_-_WALKUP_APARTMENTS_,2,766,23,C6,"_227_WEST_16TH_STREET,_1E_",10011.0,0,,2.0,3478.509843540299,11722.607226851134,1910.0,2,_C6_,2200000,2012-08-28 00:00:00.000000000,308.0,14.603967918328545,28-08-12,False,False,False,779,2012-08-28 00:00:00.000000000,233.0,1970-01-01 00:00:00.000001910,3.4857612357492576e-15
313,313.0,CHELSEA_,09_COOPS_-_WALKUP_APARTMENTS_,2C,770,56,C6,"_228_WEST_21ST_STREET,_5_",10011.0,0,,2.0,2308.46562344038,7779.548432364843,1910.0,2,_C6_,1460000,2012-09-25 00:00:00.000000000,313.0,14.19394699368452,25-09-12,False,False,False,779,2012-09-25 00:00:00.000000000,261.0,1970-01-01 00:00:00.000001910,3.4857612357492576e-15
323,323.0,CHELSEA_,09_COOPS_-_WALKUP_APARTMENTS_,2,775,6,C6,"_263_WEST_25TH_STREET,_1W_",10001.0,0,,2.0,2814.4306915916964,9484.654938088644,1905.0,2,_C6_,1780000,2012-12-20 00:00:00.000000000,323.0,14.392123922268269,20-12-12,False,False,False,76,2012-12-20 00:00:00.000000000,347.0,1970-01-01 00:00:00.000001905,3.3273175432152e-15
330,330.0,CHELSEA_,09_COOPS_-_WALKUP_APARTMENTS_,2C,800,21,C6,_133_WEST_24TH_STREET_,10011.0,0,,1.0,2119.1240080931298,7141.465607176015,1910.0,2,_C6_,1340250,2013-05-17 00:00:00.000000000,330.0,14.108366721689784,17-05-13,False,False,False,779,2013-05-17 00:00:00.000000000,495.0,1970-01-01 00:00:00.000001910,3.4857612357492576e-15
332,332.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,694,42,D4,"_520_WEST_23RD_STREET,_11F_",10011.0,0,,2.0,2213.5971731620084,7459.840962541631,2003.0,2,_D4_,1400000,2012-10-05 00:00:00.000000000,332.0,14.151982794585487,05-10-12,False,False,False,135,2012-05-10 00:00:00.000000000,123.0,1970-01-01 00:00:00.000002003,6.4328139168827205e-15
353,353.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,740,19,D0,"_325_WEST_16TH_STREET,_4E_",10011.0,0,,3.0,3747.3037859956858,12628.445058016903,1902.0,2,_D0_,2370000,2012-08-23 00:00:00.000000000,353.0,14.678400513111313,23-08-12,False,False,False,23,2012-08-23 00:00:00.000000000,228.0,1970-01-01 00:00:00.000001902,3.232251327694766e-15
366,366.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,746,18,D4,"_333_WEST_22ND_STREET,_4D_",10011.0,0,,2.0,2181.974356402551,7353.271805933893,1910.0,2,_D4_,1380000,2013-07-08 00:00:00.000000000,366.0,14.137594057133388,08-07-13,False,False,False,779,2013-08-07 00:00:00.000000000,577.0,1970-01-01 00:00:00.000001910,3.4857612357492576e-15
369,369.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,747,28,D4,"_315_WEST_23RD_STREET,_10B_",10011.0,0,,2.0,2166.1629480228225,7299.987227630024,1926.0,2,_D4_,1370000,2013-03-27 00:00:00.000000000,369.0,14.130321297804308,27-03-13,False,False,False,279,2013-03-27 00:00:00.000000000,444.0,1970-01-01 00:00:00.000001926,3.99278105185824e-15
370,370.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,747,28,D4,"_315_WEST_23RD_STREET,_7F_",10011.0,0,,2.0,2372.209316323256,7994.365209796891,1926.0,2,_D4_,1500315,2013-04-22 00:00:00.000000000,370.0,14.221185644025525,22-04-13,False,False,False,279,2013-04-22 00:00:00.000000000,470.0,1970-01-01 00:00:00.000001926,3.99278105185824e-15
399,399.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,766,39,D4,"_201_WEST_16TH_STREET,_9A_",10011.0,0,,2.0,2450.768298857938,8259.109637099662,1930.0,2,_D4_,1550000,2012-11-14 00:00:00.000000000,399.0,14.253765488895429,14-11-12,False,False,False,578,2012-11-14 00:00:00.000000000,311.0,1970-01-01 00:00:00.000001930,4.119536005885486e-15
408,408.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,766,39,D4,"_201_WEST_16TH_STREET,_9A_",10011.0,0,,2.0,2529.825340756581,8525.532528619007,1930.0,2,_D4_,1600000,2013-05-23 00:00:00.000000000,408.0,14.28551418721001,23-05-13,False,False,False,578,2013-05-23 00:00:00.000000000,501.0,1970-01-01 00:00:00.000001930,4.119536005885486e-15
410,410.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,766,39,D4,"_201_WEST_16TH_STREET,_19D_",10011.0,0,,2.0,2893.4877334903395,9751.077829607988,1930.0,2,_D4_,1830000,2013-05-23 00:00:00.000000000,410.0,14.419826524817603,23-05-13,False,False,False,578,2013-05-23 00:00:00.000000000,501.0,1970-01-01 00:00:00.000001930,4.119536005885486e-15
412,412.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,766,53,D4,"_214_WEST_17TH_STREET,_4B_",10011.0,0,,3.0,3636.6239273375854,12255.453009889821,1900.0,2,_D4_,2300000,2013-08-01 00:00:00.000000000,412.0,14.648419680899378,01-08-13,False,False,False,751,2013-01-08 00:00:00.000000000,366.0,1970-01-01 00:00:00.000001900,3.168873850681143e-15
452,452.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,773,12,D4,"_250_WEST_24TH_STREET,_1GW_",10011.0,0,,2.0,2608.8823826552243,8791.95542013835,1940.0,2,_D4_,1650000,2013-06-27 00:00:00.000000000,452.0,14.316285845876763,27-06-13,False,False,False,165,2013-06-27 00:00:00.000000000,536.0,1970-01-01 00:00:00.000001940,4.4364233909536e-15
482,482.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,790,1,D4,"_77_SEVENTH_AVENUE,_20K_",10011.0,0,,2.0,2431.130529650315,8192.930190846257,1963.0,2,_D4_,1537580,2013-05-13 00:00:00.000000000,482.0,14.24572030982949,13-05-13,False,False,False,483,2013-05-13 00:00:00.000000000,491.0,1970-01-01 00:00:00.000001963,5.165264376610263e-15
497,497.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,791,1,D0,"_161_WEST_15_STREET,_6H_",10011.0,0,,2.0,2779.6455931562937,9367.428865820133,1938.0,2,_D0_,1758000,2013-05-28 00:00:00.000000000,497.0,14.37968735722726,28-05-13,False,False,False,64,2013-05-28 00:00:00.000000000,506.0,1970-01-01 00:00:00.000001938,4.373045913939977e-15
498,498.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,791,9,D0,"_155_WEST_15TH_STREET,_5E_",10011.0,0,,2.0,2608.8823826552243,8791.95542013835,1940.0,2,_D0_,1650000,2013-07-24 00:00:00.000000000,498.0,14.316285845876763,24-07-13,False,False,False,165,2013-07-24 00:00:00.000000000,563.0,1970-01-01 00:00:00.000001940,4.4364233909536e-15
499,499.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,791,62,D4,"_130_WEST_16TH_STREET,_46/47_",10011.0,0,,2.0,2608.8823826552243,8791.95542013835,1927.0,2,_D4_,1650000,2012-09-20 00:00:00.000000000,499.0,14.316285845876763,20-09-12,False,False,False,209,2012-09-20 00:00:00.000000000,256.0,1970-01-01 00:00:00.000001927,4.0244697903650514e-15
500,500.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,791,62,D4,"_130_WEST_16TH_STREET,_21/22_",10011.0,0,,2.0,2518.638769327923,8487.83368946902,1927.0,2,_D4_,1592925,2013-04-18 00:00:00.000000000,500.0,14.281082506804557,18-04-13,False,False,False,209,2013-04-18 00:00:00.000000000,466.0,1970-01-01 00:00:00.000001927,4.0244697903650514e-15
504,504.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,792,33,D0,"_575_SIXTH_AVENUE,_9B_",10011.0,0,,2.0,2680.033720364003,9031.73602250576,1900.0,2,_D0_,1695000,2012-11-09 00:00:00.000000000,504.0,14.343193298796688,09-11-12,False,False,False,751,2012-09-11 00:00:00.000000000,247.0,1970-01-01 00:00:00.000001900,3.168873850681143e-15
505,505.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,793,14,D0,"_141_WEST_17TH_STREET,_6E_",10011.0,0,,3.0,4348.137304425373,14653.259033563918,1918.0,2,_D0_,2750000,2012-10-19 00:00:00.000000000,505.0,14.827111469642754,19-10-12,False,False,False,32,2012-10-19 00:00:00.000000000,285.0,1970-01-01 00:00:00.000001918,3.739271143803749e-15
506,506.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,793,14,D0,"_145_WEST_17TH_STREET,_3_",10011.0,0,,3.0,4229.551741577409,14253.624696284902,1918.0,2,_D0_,2675000,2013-05-16 00:00:00.000000000,506.0,14.799459938312244,16-05-13,False,False,False,32,2013-05-16 00:00:00.000000000,494.0,1970-01-01 00:00:00.000001918,3.739271143803749e-15
507,507.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,793,14,D0,"_141_WEST_17TH_STREET,_4E_",10011.0,0,,3.0,4348.137304425373,14653.259033563918,1918.0,2,_D0_,2750000,2013-07-23 00:00:00.000000000,507.0,14.827111469642754,23-07-13,False,False,False,32,2013-07-23 00:00:00.000000000,562.0,1970-01-01 00:00:00.000001918,3.739271143803749e-15
512,512.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,793,67,D0,"_154_WEST_18TH_STREET,_5B_",10011.0,0,,2.0,3004.1675921484402,10124.06987773507,1906.0,2,_D0_,1900000,2012-12-21 00:00:00.000000000,512.0,14.457364444136669,21-12-12,False,False,False,144,2012-12-21 00:00:00.000000000,348.0,1970-01-01 00:00:00.000001906,3.3590062817220116e-15
514,514.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2C,795,54,D0,"_120_WEST_20TH_STREET,_7_",10011.0,0,,3.0,3715.6809692362285,12521.875901409167,1950.0,2,_D0_,2350000,2013-07-23 00:00:00.000000000,514.0,14.669925886120343,23-07-13,False,False,False,95,2013-07-23 00:00:00.000000000,562.0,1970-01-01 00:00:00.000001950,4.753310776021714e-15
525,525.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,798,26,D0,"_129_WEST_22ND_STREET,_5A_",10011.0,0,,2.0,3035.7904089078975,10230.639034342808,1909.0,2,_D0_,1920000,2013-05-15 00:00:00.000000000,525.0,14.467835744003965,15-05-13,False,False,False,70,2013-05-15 00:00:00.000000000,493.0,1970-01-01 00:00:00.000001909,3.454072497242446e-15
526,526.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,798,26,D0,"_129_WEST_22ND_STREET,_2_",10011.0,0,,4.0,5296.821807209091,17850.333731796043,1909.0,2,_D0_,3350000,2013-08-12 00:00:00.000000000,526.0,15.02447090380125,12-08-13,False,False,False,70,2013-12-08 00:00:00.000000000,700.0,1970-01-01 00:00:00.000001909,3.454072497242446e-15
540,540.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2C,800,22,D0,_131_WEST_24TH_STREET_,10011.0,0,,2.0,2292.6542150606515,7726.263854060974,1901.0,2,_D0_,1450000,2013-05-17 00:00:00.000000000,540.0,14.187074114396758,17-05-13,False,False,False,148,2013-05-17 00:00:00.000000000,495.0,1970-01-01 00:00:00.000001901,3.2005625891879545e-15
542,542.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,801,30,D0,"_107_WEST_25TH_STREET,_2B_",10001.0,0,,2.0,2822.336395781561,9511.297227240579,1905.0,2,_D0_,1785000,2013-05-15 00:00:00.000000000,542.0,14.394928973195876,15-05-13,False,False,False,76,2013-05-15 00:00:00.000000000,493.0,1970-01-01 00:00:00.000001905,3.3273175432152e-15
543,543.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,801,65,D0,"_142_WEST_26TH_STREET,_12B_",10001.0,0,,3.0,3562.3103079528605,12005.015491861639,1911.0,2,_D0_,2253000,2013-05-16 00:00:00.000000000,543.0,14.627773219414381,16-05-13,False,False,False,78,2013-05-16 00:00:00.000000000,494.0,1970-01-01 00:00:00.000001911,3.5174499742560687e-15
545,545.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,802,31,D0,"_109_WEST_26TH_STREET,_2B_",10001.0,0,,2.0,2648.4109036045456,8925.166865898022,1910.0,2,_D0_,1675000,2012-11-19 00:00:00.000000000,545.0,14.331323723241304,19-11-12,False,False,False,779,2012-11-19 00:00:00.000000000,316.0,1970-01-01 00:00:00.000001910,3.4857612357492576e-15
546,546.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,802,31,D0,"_109_WEST_26TH_STREET,_3B_",10001.0,0,,2.0,2687.9394245538674,9058.378311657694,1910.0,2,_D0_,1700000,2012-11-19 00:00:00.000000000,546.0,14.346138809026444,19-11-12,False,False,False,779,2012-11-19 00:00:00.000000000,316.0,1970-01-01 00:00:00.000001910,3.4857612357492576e-15
547,547.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,802,52,D0,"_114_WEST_27TH_STREET,_3S_",10001.0,0,,2.0,2245.2199899214656,7566.410119149368,1907.0,2,_D0_,1420000,2013-04-18 00:00:00.000000000,547.0,14.166167429577444,18-04-13,False,False,False,60,2013-04-18 00:00:00.000000000,466.0,1970-01-01 00:00:00.000001907,3.390695020228823e-15
548,548.0,CHELSEA_,10_COOPS_-_ELEVATOR_APARTMENTS_,2,802,52,D0,"_114_WEST_27TH_STREET,_8N_",10001.0,0,,2.0,2577.259565895767,8685.386263530612,1907.0,2,_D0_,1630000,2013-07-23 00:00:00.000000000,548.0,14.304090572782945,23-07-13,False,False,False,60,2013-07-23 00:00:00.000000000,562.0,1970-01-01 00:00:00.000001907,3.390695020228823e-15
552,552.0,CHELSEA_,12_CONDOS_-_WALKUP_APARTMENTS_,2,764,1013,R2,_217_WEST_14TH_STREET_,10011.0,1,,1.0,2964.6390711991185,9990.858431975399,1930.0,2,_R2_,1875000,2013-07-08 00:00:00.000000000,552.0,14.444119217386648,08-07-13,False,False,False,578,2013-08-07 00:00:00.000000000,577.0,1970-01-01 00:00:00.000001930,4.119536005885486e-15
556,556.0,CHELSEA_,13_CONDOS_-_ELEVATOR_APARTMENTS_,2,690,1020,R4,_520_WEST_19TH_STREET_,10011.0,1,,1.0,3834.2665320841934,12921.51023868818,2007.0,2,_R4_,2425000,2013-04-05 00:00:00.000000000,556.0,14.70134208235372,05-04-13,False,False,False,1538,2013-05-04 00:00:00.000000000,482.0,1970-01-01 00:00:00.000002007,6.5595688709099665e-15
558,558.0,CHELSEA_,13_CONDOS_-_ELEVATOR_APARTMENTS_,2,691,1012,R4,_100_ELEVENTH_AVENUE_,10011.0,1,,1.0,3162.2816759457264,10656.915660773759,2007.0,2,_R4_,2000000,2013-02-11 00:00:00.000000000,558.0,14.508657738524219,11-02-13,False,False,False,1538,2013-11-02 00:00:00.000000000,664.0,1970-01-01 00:00:00.000002007,6.5595688709099665e-15
